index,address_id,full_address,street_number,street_name,state,city
402,403,3437 Huxley Crossing,3437,Huxley Crossing,CA,Los Angeles
403,404,9 Main Avenue,9,Main Avenue,CA,Los Angeles
404,405,0926 Continental Drive,926,Continental Drive,CA,Los Angeles
405,406,758 Tennyson Court,758,Tennyson Court,CA,Los Angeles
406,407,8 Shelley Point,8,Shelley Point,CA,Los Angeles
407,408,4399 Delaware Plaza,4399,Delaware Plaza,CA,Los Angeles
408,409,0 Sloan Drive,0,Sloan Drive,CA,Los Angeles
409,410,73 Dayton Terrace,73,Dayton Terrace,CA,Los Angeles
410,411,9 Golden Leaf Center,9,Golden Leaf Center,CA,Los Angeles
411,412,113 Stuart Lane,113,Stuart Lane,CA,Los Angeles
412,413,81597 High Crossing Parkway,81597,High Crossing Parkway,CA,Los Angeles
413,414,8 Ridgeway Circle,8,Ridgeway Circle,CA,Los Angeles
414,415,7 Michigan Circle,7,Michigan Circle,CA,Los Angeles
415,416,22387 4th Street,22387,4th Street,CA,Los Angeles
416,417,8476 Brickson Park Road,8476,Brickson Park Road,CA,Los Angeles
417,418,73691 Prairie Rose Lane,73691,Prairie Rose Lane,CA,Los Angeles
418,419,53 Calypso Court,53,Calypso Court,CA,Los Angeles
419,420,6827 Larry Court,6827,Larry Court,CA,Los Angeles
420,421,1512 Eggendart Lane,1512,Eggendart Lane,CA,Los Angeles
421,422,1066 Hoffman Center,1066,Hoffman Center,CA,Los Angeles
422,423,7 Sutteridge Center,7,Sutteridge Center,CA,Los Angeles
423,424,7 Main Junction,7,Main Junction,CA,Los Angeles
424,425,32420 Russell Pass,32420,Russell Pass,CA,Los Angeles
425,426,292 Gateway Circle,292,Gateway Circle,CA,Los Angeles
426,427,106 Hazelcrest Center,106,Hazelcrest Center,CA,Los Angeles
427,428,07 Nobel Park,7,Nobel Park,CA,Los Angeles
428,429,85 Barby Point,85,Barby Point,CA,Los Angeles
429,430,39129 Green Alley,39129,Green Alley,CA,Los Angeles
430,431,44 Drewry Drive,44,Drewry Drive,CA,Los Angeles
431,432,98 Sachs Terrace,98,Sachs Terrace,CA,Los Angeles
432,433,8444 Reindahl Hill,8444,Reindahl Hill,CA,Los Angeles
433,434,5 North Avenue,5,North Avenue,CA,Los Angeles
434,435,86 Johnson Point,86,Johnson Point,CA,Los Angeles
435,436,16100 Sommers Place,16100,Sommers Place,CA,Los Angeles
436,437,251 Harper Park,251,Harper Park,CA,Los Angeles
437,438,11 Moose Junction,11,Moose Junction,CA,Los Angeles
438,439,254 Katie Hill,254,Katie Hill,CA,Los Angeles
439,440,02 Cherokee Junction,2,Cherokee Junction,CA,Los Angeles
440,441,4061 Knutson Circle,4061,Knutson Circle,CA,Los Angeles
441,442,22574 Basil Avenue,22574,Basil Avenue,CA,Los Angeles
442,443,9 Anzinger Drive,9,Anzinger Drive,CA,Los Angeles
443,444,09962 Carberry Alley,9962,Carberry Alley,CA,Los Angeles
444,445,80835 Kensington Pass,80835,Kensington Pass,CA,Los Angeles
445,446,4340 Arrowood Street,4340,Arrowood Street,CA,Los Angeles
446,447,19 Harbort Plaza,19,Harbort Plaza,CA,Los Angeles
447,448,778 Bunker Hill Lane,778,Bunker Hill Lane,CA,Los Angeles
448,449,7486 Bonner Terrace,7486,Bonner Terrace,CA,Los Angeles
449,450,04135 Graceland Lane,4135,Graceland Lane,CA,Los Angeles
450,451,04 Butterfield Parkway,4,Butterfield Parkway,CA,Los Angeles
451,452,39 Donald Lane,39,Donald Lane,CA,Los Angeles
452,453,6914 Carioca Way,6914,Carioca Way,CA,Los Angeles
453,454,13943 Kensington Pass,13943,Kensington Pass,CA,Los Angeles
454,455,6 Debra Center,6,Debra Center,CA,Los Angeles
455,456,8 Knutson Circle,8,Knutson Circle,CA,Los Angeles
456,457,31 Sloan Center,31,Sloan Center,CA,Los Angeles
457,458,39 Heffernan Drive,39,Heffernan Drive,CA,Los Angeles
458,459,866 West Plaza,866,West Plaza,CA,Los Angeles
459,460,23 Delaware Way,23,Delaware Way,CA,Los Angeles
460,461,062 Becker Junction,62,Becker Junction,CA,Los Angeles
461,462,7784 Duke Park,7784,Duke Park,CA,Los Angeles
462,463,7 Mayer Place,7,Mayer Place,CA,Los Angeles
463,464,32595 Anderson Trail,32595,Anderson Trail,CA,Los Angeles
464,465,7556 Clemons Way,7556,Clemons Way,CA,Los Angeles
465,466,856 1st Trail,856,1st Trail,CA,Los Angeles
466,467,40145 Elmside Hill,40145,Elmside Hill,CA,Los Angeles
467,468,9478 Old Shore Street,9478,Old Shore Street,CA,Los Angeles
468,469,91969 Hanson Hill,91969,Hanson Hill,CA,Los Angeles
469,470,30 Eagan Parkway,30,Eagan Parkway,CA,Los Angeles
470,471,54082 Gerald Road,54082,Gerald Road,CA,Los Angeles
471,472,888 Golf Road,888,Golf Road,CA,Los Angeles
472,473,0 Dexter Alley,0,Dexter Alley,CA,Los Angeles
473,474,97371 Eliot Place,97371,Eliot Place,CA,Los Angeles
474,475,7930 Corscot Circle,7930,Corscot Circle,CA,Los Angeles
475,476,38 Grasskamp Trail,38,Grasskamp Trail,CA,Los Angeles
476,477,161 Main Junction,161,Main Junction,CA,Los Angeles
477,478,37 Miller Court,37,Miller Court,CA,Los Angeles
478,479,6161 Dayton Park,6161,Dayton Park,CA,Los Angeles
479,480,4584 Toban Lane,4584,Toban Lane,CA,Los Angeles
480,481,61658 Lindbergh Plaza,61658,Lindbergh Plaza,CA,Los Angeles
481,482,31043 Manley Lane,31043,Manley Lane,CA,Los Angeles
482,483,0396 Rusk Parkway,396,Rusk Parkway,CA,Los Angeles
483,484,1849 Surrey Center,1849,Surrey Center,CA,Los Angeles
484,485,1 Ludington Pass,1,Ludington Pass,CA,Los Angeles
485,486,32 Lake View Lane,32,Lake View Lane,CA,Los Angeles
486,487,1337 Roxbury Road,1337,Roxbury Road,CA,Los Angeles
487,488,8848 Drewry Hill,8848,Drewry Hill,CA,Los Angeles
488,489,2617 Darwin Circle,2617,Darwin Circle,CA,Los Angeles
489,490,3380 Stone Corner Court,3380,Stone Corner Court,CA,Los Angeles
490,491,3394 Schiller Parkway,3394,Schiller Parkway,CA,Los Angeles
491,492,9 Fulton Trail,9,Fulton Trail,CA,Los Angeles
492,493,5276 Gale Road,5276,Gale Road,CA,Los Angeles
493,494,68 Hermina Street,68,Hermina Street,CA,Los Angeles
494,495,64 Loomis Terrace,64,Loomis Terrace,CA,Los Angeles
495,496,99 Pepper Wood Way,99,Pepper Wood Way,CA,Los Angeles
496,497,0 Forest Dale Way,0,Forest Dale Way,CA,Los Angeles
497,498,0373 Loftsgordon Road,373,Loftsgordon Road,CA,Los Angeles
498,499,91332 Columbus Alley,91332,Columbus Alley,CA,Los Angeles
